after,complaint
cirebon khusus nya kec beber blm atm bca jdi klo tarik tunai indomaret terus di batas lg gx huhuhuhu,1.0
maaf ka sya bertaya sya atm bca tpi kartuya blm ambil karna blm sempet bang ya tpi nomer hp perdana ya hilang,0.0
buka rekening bca trx cardless sampe atm ga ambil bank,0.0
simple pas kartu tinggal,0.0
simple ngga ribet masukkin kartu,0.0
selamat siang  tnya kalo buka tabung kota tpi ktp daerah udah  terimakasih,0.0
kak tany kartu atm  blokir gmn stor tunai diatm kartu atm,0.0
nominal g bs yaa kak,0.0
min pakai qris gimana kallo bayar belanja ,0.0
kalo fitur  transaksi debit online  aplikasi m-banking gak aktif  tarik uang cashless kartu ,0.0
coba bbrpa kali    hasilnyaaa sangatt sangatttt tooop,0.0
udah pakai cardless thanks bca,0.0
uang admin nya klo ambil uang pakai cardless  gratis ,0.0
maab dah ambil duid pake bca chardless,0.0
yg kartu nya udh ilang dr th yg  tp untung fiture gampang deh,0.0
hai admin skrg kartu bca uda ga keluarin yg flazz nya yaa,0.0
hay admind nanya fitur laku bank bca tarik tunai ,0.0
yg bener gmn min ,0.0
jg pakai dr covid,0.0
udah kalo narik tunai cardless  emang cepet simple banget,0.0
klo kartu ilang  ngajuin kartu gmna y min,0.0
my bca,0.0
min mw sya ganti kartu pkek mbabking knp sruh hubung hallo bca ya  sya mw ganti mastercard krn kmrn dpt nya gpn,1.0
dha kali bang,0.0
manfaat skali  semenjak nggak takut kartu tahan rentenir,0.0
udah tahun pake cardless kalo ambil uang,0.0
guna bca dr thun  nyaman gak    skrng klo mw tarik tunai tnggal catet kode aja  gak prlu bwak kartu hp ,0.0
rumor nya m-bca qr hapus ,0.0
gimana   pake,0.0
andal bnget mah,0.0
andal akuuu,0.0
kartu trblokir krena slah pin  skrg lbh nyaman pke hp  krena prnah dtg kekntor trdekat ktnya hrus lwat tlp  klw mw urus krtu yg trblokir ap btul min ,0.0
terdebest emang bca mah,0.0
min kartu dr online gmn cra ya bank ,0.0
emang ambil uang pake kartu atm tp pake fitur atm,0.0
laku utk mbanking aja yah  klo gak mbanking gak ya guys,0.0
min  mbanking digunain engga kalo kita luar negeri udh ganti simcard ,0.0
enak pakai bca ndak ribet ,0.0
salam bahagia,0.0
ka pleease bantu ganti nomer gmna yah,0.0
udah th bgitu telat ngasih tau,0.0
kak  kmren sy slh masukin kode akses  trus gnti udh  utk transfer m banking ga  mohon bantu ny  mksih,0.0
tutor kak,0.0
 hanyabca,0.0
dha kali bang,0.0
tp tari max ,1.0
gw make sistem cardless karna kartu ilang,0.0
semenjak kartu gw rusak  gk dr fiture cardless skrang jd pakai cardless teruss  bom dibnerin kartu yg rusak ,0.0
tau guna ktp elektronik pas kartu bca,0.0
love love dah bca,0.0
limit tari tambah ngak ,0.0
sih yes  mantab pokok,0.0
manfaat skali  semenjak nggak takut kartu tahan rentenir,0.0
guna bca dr thun  nyaman gak    skrng klo mw tarik tunai tnggal catet kode aja  gak prlu bwak kartu hp ,0.0
kalo bikin mbanking gmn,0.0
bca jalan mudah,0.0
senang transaksi kartu  kl kartu lupa tinggal mesin atm nya ,0.0
bank udah kali fitur ,0.0
kartu kadaluarsa blm sempet baru fitur bantu,0.0
hadir,0.0
alhamdulillah bca pelopor ambil tunai cardless  untung mandiri jg sdh bs spt,0.0
bgt mh  gk bwa cash yg pntg bawa hp lbh sat set bnrn,0.0
nyaman aja sma bca,0.0
pin mbanking beda pin atm gk  pakai picture,0.0
andal bnget mah,0.0
andal akuuu,0.0
q daftar online,0.0
andal ku bgt  udah tau  slalu tarik tunai pake cardless mudahh,0.0
blm bs pake hp diatm  tkt salah,0.0
jg neng fitur,0.0
keren bca bikin tabung  atm nyh setor tunai,0.0
andal bgt dr usia smpe usa skrng msh setia pke bca,0.0
hdr,0.0
semenjak tau  gak bongung atm tinggal  hp,0.0
atm gua ilang udah  males bikin kalo ambil duit pake truss,0.0
bri gmna bang  tutor,0.0
bener bgt min  jd hindar intai pengganjel kartu dll good job bca,0.0
min minimal klw ga trnsaksi brpa  biar ga blokir ,0.0
pake cardles,0.0
min  mbanking digunain engga kalo kita luar negeri udh ganti simcard ,0.0
enak pakai bca ndak ribet ,0.0
nyambung jawab   ,0.0
bner gampang simpel,0.0
andal aing,0.0
ga tarik   sy aja  ga ,1.0
andal bgt dr usia smpe usa skrng msh setia pke bca,0.0
keren,0.0
udah pakai mbca blm tau gimana  tutorial nya gak min,0.0
ae,0.0
uang blm masuk setor tunai atm,0.0
sdh dr pakai cardless kadang suruh anak pakai cardless,0.0
gimana lupain paspot mbanking min ,0.0
pake cardles,0.0
min  mbanking digunain engga kalo kita luar negeri udh ganti simcard ,0.0
udh prnh make cardless pas setor tunai  slh mskn kode  tau duit msk tp gda rek  ps gt uang ny muntal rb  ga  jt muntah pas ak tinggal,1.0
min  gabisa login mbanking  kartu daftar pulsa posisi sim  kejadianya pas habis reset hp,1.0
kak  tolong kembang cashless bayar atm  isi flaz dll  dompet digital  durasi jam  total cashless ,0.0
enak pakai bca ndak ribet ,0.0
udah tahun pake cardless kalo ambil uang,0.0
hhh,0.0
l,0.0
h,0.0
l,0.0
support flks,0.0
hbhhh hhhh,0.0
saking jarang pake kartu pas sekali pake kartu  kartu gw masukin struk  mna colok kali lg  malu bgt,0.0
mantap,0.0
kaya si  beda masukin e-ktp untung gak org,0.0
taro hp mesin setor uang  takut selip  trus ketelen,0.0
cek,0.0
min kl usul tolong wilayah kec garawangi kuningan jawa barat mesin atmnya trutma diindomart biar gk jauk hrs kota lwtin brp ds,1.0
salam  aja njajal  simple banget  bca keren,0.0
suka pake ,0.0
g lgsg scan aja  habis ketik keburu antri,0.0
makek smpe krtu gk ornh kluar dr dompet,0.0
maksud gimana atm nempel hape suara eh salah eh,0.0
tutor nya ka,0.0
 tutor tolong,0.0
ok kasih liat kepaksu,0.0
banyak atm bca spbu  kalo minimarket dikit bayar parkir tarik tunai dikit ,1.0
hj,0.0
min hrs di-update bank gk kl pakai cardless,0.0
tarik tunai minimal min,0.0
mantap,0.0
ribu om,0.0
anak gw aja yg antri ketawa,0.0
bca hati semua urus mudah bngt udh hmpir thun jd nasabah bca,0.0
h,0.0
hallo bca  sy mw tnya  blkngn  sy hubung org yg dri bca  menawarkn  bca finansial  apkh bnr  ,0.0
udah masuk bank  bca gak ganti layan ramah  cepat mudah erti,0.0
bca yg percaya  kendala apa  d mudah mantap bca,0.0
bca pada  wllpun bca exspresi ramah layan  tahan   ,0.0
hilang kartu atm bca  langsung cs digital  gak nyampe menit  gak suket dr polisi,0.0
bca depan  wlpun kartu atm sita negara tp ttp ambil uang mksh bca,0.0
atm bca ku dah gak gunain  tarik setor duit atm pake mbanking simple,0.0
fakfak gak bca min ,1.0
bca top,0.0
min ken nanya tari abis setor uang  struk jya tuh gak muncul aman gak ya ,1.0
bca baik,0.0
follow kaka kaka,0.0
gadis sampe anak  bca hati  gaji masuk bca langsung sat set aja pending ganggu,0.0
layan cepat  gak ribet  cs nya jg ramah pokoke bca keren,0.0
cuman bca gk ngecewain,0.0
saran klo setor tunai gausah pakai cardless ya  jadi kemarin jadi ajar  saat setor tunai  uang,0.0
pokok ambil uang pake fitur cardless,0.0
aq bkan nasabah prioritas  tp aq bangga pake bca mobile,0.0
kali doang,0.0
ok  ntar nyoba,0.0
keren,0.0
kolom komentar milik empat,0.0
mampir sobat ku vt mu yg bosan tonton inisemoga sehat sukses selau mu yg kreeenslm lks lupa,0.0
kereeeeeeeennnnn,0.0
ka ken nonaktif autodebit bpjs online ga ,0.0
    ,0.0
kak  knpa saldo ku kurang bnyk bgt pdhl gaada transaksi apa ,1.0
pingin banget magang bank bca lokasi tes gak medan gimana ya,1.0
top up dana bca jam pagi  jt sampe masuk dana  pdhl status hasil,1.0
kak non aktifin asuransi aia gmna,0.0
atuu kangeennn,0.0
min kalo ktp daerah atm prioritas tangcity ya ,0.0
min  verifikasi wajah bca mobile gagal ya ,1.0
gimana nya refund uang top up dana yg gak masuk saldo potong mbanking ya kak ,1.0
td pagi cabang galuh karawang buka rek tabung gila servernya eror blm jelas,1.0
min buka rekening smaa marketing aman kah ,0.0
orang daerah ken buka rekening tabung bca  syarat aja kk,0.0
kak yg nomor rekening digit nomor atm yg tahu org  bahaya kak ,0.0
lanjur kasih tau gmna min ,0.0
udh lanjur ngasih no rek  no kartu atm gmn ,0.0
love u bca,0.0
up ,0.0
info loker,0.0
up,0.0
keren lets get it,0.0
bca the best,0.0
the best ,0.0
suara istimewa mbak anggun,0.0
bank bca bekerjasama program kartu pra kerja,0.0
ih ka kagum bgt cs yg ad kota satpam cs ea ramaaaaaaaaah bgt sampe tuh betah bgt kantor bca  tahan,0.0
bca ya adminnya skrg rb  rb,1.0
kereen bgt alur cerita  gambar,0.0
kak knp ya login mbca gagal verifikasi wajah nya,1.0
suami kena juta d alfa,0.0
sales yg nawarin bikin kartu rekening bca  aman kah ,0.0
klau lanjur kasih alamat rumah gimn  ditelp paham rt rw desa nanya ancer ancernya rmh uda lanjur gimana,0.0
kerennn,0.0
gmna ajuin pinjam kak   butuh bener biaya buka usaha,0.0
thanks info nya,0.0
jaya bca,0.0
halo kak ganti kartu atm blue bca xpresi ,0.0
 keren ,0.0
bayar asuransi bca ngambil langsung saldo atm,0.0
knpa bca gk bsa ksih nmr kartu nya  pdahal yng nnya milik lngsung,0.0
kemarin mintain rek  atm ,0.0
thanks info,0.0
merah,0.0
m kaka nya mama,0.0
kemarin ay didatangain dr bca  tawar otlet warung pmbayaran pake barcode  sdh proses  tp bener dr bca ya,0.0
keren iklan  hibur  sadar need nya ,0.0
mantap keren bca,0.0
tq info  a kak  ,0.0
pinter,0.0
cabang bank bca camat simanindo ,0.0
kereeeeeeennnn   ,0.0
mba yg data mbangking tuju nga nya potong admin bulan orb bener nga,0.0
foto,0.0
g take over kpr rumah btn bca  klo syarat ,0.0
sy kena tipu mengatasnamakan bca  dn hbs swmua tabung sy smpi hidup jd gk karuan bnyk hutang,0.0
bca kartu tahap expresi potong ,0.0
bca kerja sma sma asuransi aia kah  g ngerti yg tlpon dr aia  iya iya aja  ga ngerti dia mnta no pin ,0.0
buka rek bca persyaratanya aj,0.0
iklan niat  mudah erti  paham aq jd nasabah bca hlooo sukses trs bca,0.0
min  please ya  rekening saldo milik rekening dah tinggal  gimana urus,0.0
sy pake m banking  tinggal masukin kode otpnya ga kirim,1.0
bca ga mukomuko,1.0
bagaimna serah data ktp memeberikan data rahasia yg org tdk tau ,0.0
sd d kuras cc nya aneh knp tau data ccv nya  rekam suara no tlp,0.0
nyarisssss,0.0
kena tipu,0.0
tolakk dgn anggun,0.0
g take over kpr rumah btn bca  klo syarat ,0.0
min  please ya  rekening saldo milik rekening dah tinggal  gimana urus,0.0
ka suka telpon cs bilang dr bca center  tp suka lsg tutup  bnr dr bca ,0.0
pakai mbankin bca  bikin my bca  ty nomor krtu ya  pilihanya  no kartu no rekening  sya pilih no rkning ,0.0
iklan niat  mudah erti  paham aq jd nasabah bca hlooo sukses trs bca,0.0
knp ya blm lma aq tlp hallo bca pinjmn krtu kredit  pas smpai pertngahan hallo bca sinyal a hlang  trus   persyrtan aja ya ,0.0
tau min klo admin kartu atm tahap yach  biaya adm ga bulan  mksh sblmnya,0.0
ka   nanya tdk   klw sdh tau norek saldo hilang ambil  krn sy sdh lanjur ngasih norek ,0.0
sy kena tipu mengatasnamakan bca  dn hbs swmua tabung sy smpi hidup jd gk karuan bnyk hutang,0.0
bca kartu tahap expresi potong ,0.0
kmrn jumat sy dpt tlp greater jakarta bca  nawarin program  bener ga  sy lom bicara posisi lg krj,0.0
bikin atm bca syarat nya aja,0.0
bca jaya,0.0
klo dapet wa yg bilang ganti tarif transfer gimana    situ nomer kartu atm konfirmasi,0.0
kerja nafkahin anak istri aja,0.0
sukses bca,0.0
bikin rek online susah banget masuk ny ,1.0
bca kerja sma sma asuransi aia kah  g ngerti yg tlpon dr aia  iya iya aja  ga ngerti dia mnta no pin ,0.0
terimakasih info,0.0
maaf tnya klau kt dowld m bca koo gk bs nyangkut ya layar hp kt sblm nya aplksi lyar hp krn hpus ma ank dn sya cb dowld aplksi gk bs nempel layar hp,1.0
kak sy suruh isi link trus isi nomor kartu nomor pin langsung sy isi sy sadar lgs tlp hallo bca,0.0
sy pake m banking  tinggal masukin kode otpnya ga kirim,1.0
bca biaya kpr,0.0
makasih info,0.0
kk sms dr bank bca tp ngk ku respon,0.0
nawarin kartu kredit  sdh acc tpi kartu kga muncul  krim  gmna neh bank bca,1.0
ya buka rekening online gagal,1.0
jt,0.0
ya  kemarin yg kqtanya bca ngasih kqtakanlah asuransi lalu nomer d kartu atm ,0.0
cepat dapatin uang kerja gimana min,0.0
bca ga mukomuko,0.0
trimakasih kak ,0.0
kena tipu ,0.0
maaf mbanking ya ,1.0
kadang d potong x bulan ya,0.0
kalo tetiba tlf dr bca u krtu kredit  isi formulir smpe vc sma costmer online nya itu beneran tipu  ,0.0
min buka rekening bca gratis,0.0
min tpi klo yg kartu sehat dri bca gimna kemaren ad perna telpon bca daftar kartu sehat dri bank bca,0.0
bca top dah,0.0
hilang atm  telvon cs blokir ngapain min ,0.0
dah paham,0.0
wow  nonton iklan habis  well done ni kreatif ,0.0
nyarisssss,0.0
 blng kartu atm tdk saya  trus  kartu atm mana   hati,0.0
kak sy suruh isi link trus isi nomor kartu nomor pin langsung sy isi sy sadar lgs tlp hallo bca,0.0
sy pake m banking  tinggal masukin kode otpnya ga kirim,1.0
mimin,0.0
udah kali bikin bca tahapsn expresi yg pertma patah n gkaktif dipake gkaktip bikin lg gk ,0.0
makasih bca  moga ttp percaya,0.0
bantu umkm bca tpi sifat rahasia  trs dsru mbanking,0.0
mksi,0.0
nurut aja kode otp kasih aja    stlh sadar abis uang atm,0.0
bagus banget edukasi nasabah,0.0
bca asuransi,0.0
alamin    hipnotis  aja telepon nurut  isi atm ludes untung aja uang dikit ribu,0.0
kartu bca exp nya  kartu exp kartu dipake ya,0.0
ank prnh  ujung nya mnta pin atm  tp untun cepet sadar  gak d kasi tuh  alhamdulillah  alloh msh jaga anak ,0.0
alam bljr  pin data  udh ksh  untung nya yg ,0.0
makasih info,0.0
bca ga mukomuko,0.0
keren banget ,0.0
halo kak olshop  nerima transfer kurir pribadi  tp kurir yg transfer dana rekening ya d beku,0.0
ya nih,0.0
sya daptar bca gimna ya online arah ny,0.0
bca sy kali hilang uang rek  hilang malam tari diatm  ya ,1.0
minn gim saldo ilangh gitu aja kalo debet rek bkin udah k aj ilang,1.0
kalo aq d milih pake bahasa indonesia utuh wlw kdg bsa bhsa stu  tkut salah,0.0
digit dri nomor rekning bca,0.0
exp atm bln agustus baru min,0.0
ya  kartu bca ga gunain gabisa ambil uang  klo buka mbanking transfer  mbaking jga,1.0
barusan kmrn yg wa gitu ktnya bca lngsng saudara blng blokir aja sy blokir,0.0
evos rasyah,0.0
bank bca hadiah kayak bank gak,0.0
trimakasih kak ,0.0
bca slalu d hati ,0.0
ciri khas suara anggun c  candu bnget suara anggun,0.0
m banking online sulit,1.0
ngerasain bank swasta c  bablas jt ,0.0
thnk info min,0.0
min tpi klo yg kartu sehat dri bca gimna kemaren ad perna telpon bca daftar kartu sehat dri bank bca,0.0
asuransi bca life th klaim sdh selesai th uang   ,0.0
maaf mo bca bikin sms banking ya,0.0
membanntu,0.0
min gw daftar m-bca hp kagak,1.0
jg tolak masuk bca taun hiks,0.0
kak telp ngaku marketing cc nawarin ajuin naikin limid  cm foto cc ktp aja nipu jg gak sih   ,0.0
nyarisssss,0.0
min kalo tahap gold pakek saldo minimum aq tahap bca pindah gold gak ,0.0
tlvn hp  nomor atm,0.0
bikin kalo nomernya atm bca gak yaa min ,0.0
bru x melototin iklan sampe selesai saking ga sadar udah slesai aja  krna b dri orng angung c sasmi yg brasa liat queen  grande,0.0
min skarang m bca verifikasi data udah bner knpa gak ya ,1.0
tolak anggun,0.0
min jenis tabung bca ap cocok umur dn perlu simpan hari yg kek orang,0.0
bagus bgt,0.0
waaah keren iklan,0.0
mohon maf klo telpon k halo bca d no atm n data jdi tu ga bole ,0.0
tolak dc adira gimana ya  sangkut  motor hilang bayar ,0.0
nanya  bca asuransi nasabah bca  istimewa  telp aku bca ,0.0
kereennn alur cerita,0.0
bank bca hadiah kayak bank gak,0.0
trimakasih kak ,0.0
iklan trpanjang yg pernh sy tonton  but i love it asa nonton short movie  excellent work for useful information ,0.0
gg bgt sih tim digital market bca ,0.0
terima kasih info ,0.0
atm bca online,0.0
bank baik ,0.0
si plg cepat respon,0.0
bca mmg aman,0.0
sy ngga daftar m-banking bca  kirim sms slalu gagal,1.0
alloh  syukur aja  bilang hadiah suru download neo bank  kode otp  abai terima kasih info,0.0
bca keren,0.0
min daftar mbca gk bisa,1.0
buka rek bca ribet gak saratny mohon pencerahanya,1.0
ya  saldo potong rb cek mutasi gak terang ,1.0
bca slalu d hati ,0.0
jaya bca,0.0
kemarin yg mampir tmn gw cs bank pin bcanya  trus costumer nya bilang ga ngasihh  pas pergi cs nya blg kyk mlg aja,1.0
nambah lgi jd duta nya mba anggun  cakep pk topi baret serasa nostalgia,0.0
buka rek dr online ad krtu atm tp tdk ad buku rek  apakh buku rek bs ddpt dr bank bca trdekat min,0.0
ka aq suka d tlp  mlh kemaren  bilang nya cs asuransi bca    saya langsung blok az  gimna bner g ,0.0
thanks info  manfaat bngt ,0.0
ambil tunai atm bca  uang ga tp saldo potong  lapor kali msh blm beres  ckckck,1.0
kak knp isi rekening segitu gitu ajah ya,0.0
iya kena x ni,0.0
kak bca ngga tarik full k ngga tarik ,0.0
bikin kartu bca syarat nya,0.0
tlp ktnya tawar asuransi dr bca,0.0
pemgurusan qris bca banget ya proses kak  udah minggu,1.0
atur bank telp konsumen  telp aku bank  alhamdulillah laden ,0.0
kk kemaren dimintain no kartu atm bca ku donasi yappika beneran donasi ngga sih  trus aman ngga sih ,0.0
min tpi klo yg kartu sehat dri bca gimna kemaren ad perna telpon bca daftar kartu sehat dri bank bca,0.0
nyarisssss,0.0
terimakasih info,0.0
keren iklan nya,0.0
bca keren ,0.0
nyarisssss,0.0
udah kali bikin bca tahapsn expresi yg pertma patah n gkaktif dipake gkaktip bikin lg gk ,0.0
-   ,0.0
p,0.0
y,0.0
wandy,0.0
jgn cek video yg gw sematin,0.0
tdk gubris luar file kontak  sll dtg lgsg kantor kl info bnr gak,0.0
mntp,0.0
kmaren sy kna tipu untung sy gx bodoh ,0.0
bca mobile masuk,1.0
keren bgt konsep storytellingnya  ngelooping,0.0
nonton akhit play kali,0.0
kena kak  abis uang arisan org hrs gntiin,0.0
bca bank yg layan yg muas  keren pkoknya  banyak atm  nya kek bank  biar gk hrs kota klau ambil uang,0.0
dongen  legenda  cerita rakyat  agama,0.0
blubug blubug,0.0
sy kalteng blm cabang bca sedih kl mbanking suruh cabang dekat  sy hrs kalsel cm mbanking ,1.0
admin kasih tau m banking bca gimana klo uang masuk rekening  langsung masuk pesan  gitu  biar ga capek buka nbanking,1.0
tolong spil aktivasi rekening bca hp  udh coba kali ttep aja gagal,0.0
gila sih keren iklan seni yg mikat,0.0
bca mantap percaya bank bca colong  nasabah bank bca aman  puas nasabah bank bca  tks bank bca ,0.0
minggu telfon pusat jakarta ngaku bca dapet asuransi jiwa bca,0.0
keren banget emang butuh edukasi  bnyak user  marketplace yg ketipuuu,0.0
i like bca  pokok is the best bca layan ok uang aman transfer sabtu minggu non stop libur  poko bca number one,0.0
tolak anggunli  selayyyyyy,0.0
barusan aja wa  bilang paket kirim cc gw  gw ignored sampe nelpon,0.0
keren sih sosialisasi  bank  senyuminaja,0.0
vt bca live kak,0.0
seriiiiiiing mbak anggun  tik tok,0.0
kemarin dapet telpon bca  nomer rekening  kasih  gimana  tipu,0.0
tim langsung matiin,0.0
sma pake bca  g  bca the best,0.0
bikin mbangking verifikasi wajah selalalu gagal,1.0
asa dengerin alur dongeng suara mbak anggun,0.0
pake mbanking bca sampe  daftar ga cetak kartu fisik,0.0
keren min video  bismillah  saham bca,0.0
ya allah hanpir aja kena  yg tlp dr asuransi bca  pin bs langsung debet dr rekening,0.0
bca is the best  kendala sdh pk jasa bca thn  nya saldo nya  gak nambah kurang  gesek trs,0.0
bca fast and forius eh fast respon mksd nya  sat set sat set  beda belah,0.0
sma pake bca  g  bca the best,0.0
bikin mbangking verifikasi wajah selalalu gagal,1.0
bca klo buka rekening pake atm   gak ky bank onoh yg alesan kartu abis mulu,0.0
asa dengerin alur dongeng suara mbak anggun,0.0
pake mbanking bca sampe  daftar ga cetak kartu fisik,0.0
keren min video  bismillah  saham bca,0.0
kena tipu mengatasnamakan bank  slalu hati,0.0
ya allah hanpir aja kena  yg tlp dr asuransi bca  pin bs langsung debet dr rekening,0.0
bca is the best  kendala sdh pk jasa bca thn  nya saldo nya  gak nambah kurang  gesek trs,0.0
ih  mah kereeennm auto kagak tipu,0.0
i love bca  tdk prnh pindah bank  jaya trs bca,0.0
bca fast and forius eh fast respon mksd nya  sat set sat set  beda belah,0.0
tolak anggun gimana min  contoh nya kah  tawar,0.0
queen info nih,0.0
sminggu yg tlfn mngtsnmakan bca  untung ga kena,0.0
bca kcp kudus layan nya wow  satpam  cs ramah  mendo akan terima kasih kunjung nya  sehat terima kasih kunjung nya,0.0
udah kayak iklan wonderful indonesia,0.0
ga nyadar bacain nomor belakang cc  alhamdulillah cepet sadar gerak cepet telp call centre langsung blokir cc nya,0.0
satpam bca i love you polll,0.0
kali nonton iklan tiktok ampe abis  bca baik ,0.0
nabung bca tiao ambilin trs  jd habis dech tabung,1.0
customer service bca telpon nasabah alas tawar asuransi  terimakasih,0.0
masyaallah  moga lindung allah swt  terimakasih bca,0.0
udah gak tau tlp mengatasnamakan bca  nomor nya bedah  blok muncul nomor,0.0
nasabah bca prioritas  puluh pake kecewa layan banking  verifikasi sulit ,1.0
bca asuransi    nelpon maksa suruh ikut asuransi,1.0
bca baik pelayananx dr bank yg indonesia  teller  cs  satpam n cemuax d  the best,0.0
alas pindah bca  aman pakai aman  sukses bca,0.0
p mekanik saudara tetangga bantu kapolda ,0.0
kalo sy langsung sy tutup tlp nya  ga sy laden tolak dgn anggun,0.0
prudential bekerjasama bca no rek,0.0
mantap bca  nasabah jawab sukses,0.0
 pasti isi data rahasia perban nomor kartu atm  pin  kode otp kode cvv orang ya  jd inti,0.0
best service deh bank bca  ganti kartu kadaluarsa gampang mudah banget  satpam nya staff nya juara ramah nya,0.0
tolak anggun,0.0
ketemu cowok,0.0
kemaren wa bca bener bca potong bulan rbu,0.0
 norek  setalh digit yg d kartu ,0.0
sy liat  sy d tawarin asuransi dr bca  sy pancing  nmr rekening  trus sy tutup tlpn nya ,0.0
banget  mbak anggun ,0.0
hallo mba anggun cantik,0.0
smart ya mbak anggun,0.0
hai  keren,0.0
aduch tuch untung tuk ty k bca  mksh y mba anggun sdh d ingetin,0.0
tks info mba anggun,0.0
kode cvc cvv yaa  ,0.0
terima kasih mba anggun,0.0
menang challenge nya nih min ,0.0
salam sehat kak anggun,0.0
hmm oke deh,0.0
langsung cek bca nya,0.0
ga  kalo sy sih sih hmpir bca ,0.0
mba anggun  sesuai dgn nama anggun,0.0
cantik ,0.0
mba anggun sy ngalami sy tolak takut tipu,0.0
terimakasih nfonya sist anggun artis favorit ku,0.0
hallo mbak anggun ,0.0
bca,0.0
mantap,0.0
d kuras pk kode otp  d bca saldo ku min ,0.0
oke kak anggun  udah x tp alhamdulillah iman,0.0
kode otp gak kasih tau  bank,0.0
gak terima telp nomor kenal  kalo buatuh wa,0.0
mba anggun,0.0
persis yg alami kena juta,0.0
bagus info nya  bank blokir account  bayar pajak   langgar sop bank ,0.0
bu anggun c cerah ,0.0
maaf kak anggun gak pilih  biar yg pilih mu,0.0
mba anggun smart cantik,0.0
challenge dar konten   hadiah ,0.0
tuh tawar  maaf nasabah bca,0.0
yg nawarin cantiknay kay gin mah  jgn kn d tawarin mlh menawarkn dri khusus buaya,0.0
gw lansung bilang  nanyee  taye  yaudah biar ku kasih tau ya  rawr ,0.0
hrs ati,0.0
hai,0.0
ana tlp enawaran tsbt  alhamdulillah samping ana  dg anggun yg   naku nga,0.0
mom anggun cantik,0.0
hallo,0.0
trus gimana tuh mba sorum survei isi dokumen kode otp hp ku ku cancel sih kn inden,0.0
ok tks,0.0
nuhun teteh cantik info,0.0
trims info nya bucan anggun favorid sy,0.0
cinta bangett mbak anggun,0.0
kereen bca spoke person  ,0.0
informatif,0.0
kalo bilang  diem   maaf pulsa habis  camda,0.0
ikut ah,0.0
skrg card atm pin bawa temen  dipindahin nasabah cabang  solusi cegah yg ,0.0
sdh ikut,0.0
mantab,0.0
sih elo  org ngaku bank miun  bank agus  bank joko ,0.0
done wish me luck,0.0
keren banget mbah aggun uda ikut,0.0
mantap,0.0
sdh alami jadi untung jeli sy jebak see,0.0
ikutannn duet  tolakdengananggun moga untung,0.0
terima kasih bca  edukasi,0.0
done udah  tolakdengananggun nih ,0.0
tks ok edukasi,0.0
bs nolak krn lg ga rekening bank,0.0
tampil kak anggun alami banget  cantik alami  gak pake make up,0.0
done ikut bismillahirrahmanirrahim menang ya allah,0.0
done moga sukses,0.0
pakai bca kak,0.0
norek yg udh gak aktif aktif kn gak ,0.0
beasiswa nggak  unsrat  nyari  beasiswa  cmn nggak   harap beasiswa bakti bca ,0.0
gak kode otp  nawarin asuransi sehat n nama anak kandung  gmn tipu gak ,0.0
tolong csnya gorontalo tambah  antri layan cmn cs  langgan menit  banget  syukur panya menjlsk ckp,0.0
manis loo si anggun,0.0
bissaaa ajjj dechhh endingnya,0.0
terima kasih embak anggun  selamat temu th,0.0
 terimakasih cerah ilmu  manfaat ,0.0
terimakasihhh ka anggunnnn,0.0
idola ku,0.0
tolak dgn anggun  ,0.0
ingat yg lugas ,0.0
keren,0.0
ok  bantu,0.0
keren,0.0
keren,0.0
bank central asia,0.0
mashaallah cinta bca,0.0
 ciamik soro mas bro  bca ucap terimakasih besar  sempat gabung video pendek gebyar bca  terimakasih tim solid sukses ,0.0
semuga allah membeeikan ridho,0.0
yah mah ga menang saldo kosong,0.0
saldo kosong,0.0
m bangking rusak gada bank,1.0
user id pin maksud yg min,0.0
bang bca  kalo ngajuin kta bca kantor cabang ya ,0.0
atm blokir karna salah pin urus online gak ya  kantor ,0.0
undi ,0.0
 viral  bca  bank  indonesia,0.0
bca skarang eror kmaren qriss parahh,1.0
semongga sukses oke,0.0
rekening bca udh puluh thn ngerasain hadiah bayar pajak,0.0
info donk gmn hapus inbox bca mobile ,0.0
semongga sukses oke,0.0
kak bikin kartu atm bca kena biaya brp ,0.0
menang saldo pas  an,0.0
tagih kartu kredit muncul  udah ngambil aja  udah bayar  tolong admin ,1.0
tahu aman data retas  ,0.0
info judul film,0.0
g minjm uang jt  tpi ad tagih  pdhal g prnh aneh  ,1.0
jg kemaren dapet ky gitu tulis nya undahan nikah  kalo mw ngundang ga surat undang nya yg foto knp pake file,0.0
keren,0.0
 nurut mama  gk lanjut lg kah   ,0.0
spill agency nya min,0.0
mkc ud,0.0
keren ,0.0
keren banget  cast cewe nya ,0.0
b r i om,0.0
assalamualaikum met sore,0.0
halo ko saldo nol transfer rekening  mutasi transaksi uang masuk saldo nya kosong,1.0
permisi kak   atm bca buku rekening hilang dibikinin buku ,0.0
keren good,0.0
okebang,0.0
hallo kak  m-bca  bca mobile  blokir kartu atm bca jug blokir  telpon hallo bca buka blokir  kantor cabang dekat ,0.0
aktif mobile bca,0.0
kak bantu mbaking bca yg blokir gx pulang indo,0.0
ka  ko tf pas masukin rekening yg muncul rekening nama org ya ,0.0
halooo min bales dm gak yaa ,0.0
min mbanking eror sampe jam ,1.0
